159|522275|GET&D|GE T&D India|GE T&D India Ltd|INE200A01026|Electric Equipment|B|Success: UPDATED in HoldingSecurity.
161|500495|ESCORTS|Escorts Kubota|Escorts Kubota Ltd|INE042A01014|Automobiles - Tractors|A|Success: UPDATED in HoldingSecurity.
163|500630|ESSARPORTS|Essar Ports|Essar Ports Ltd|INE282A01024|Shipping||Success: UPDATED in HoldingSecurity.
164|500135|EPL|EPL Ltd|EPL Ltd|INE255A01020|Packaging|A|Success: UPDATED in HoldingSecurity.
165|508906|EVERESTIND|Everest Inds.|Everest Industries Ltd|INE295A01018|Cement Products|B|Success: UPDATED in HoldingSecurity.
166|500650|EXCELINDUS|Excel Industries|Excel Industries Ltd|INE369A01029|Chemicals|B|Success: UPDATED in HoldingSecurity.
167|500142|FGPIND|FGP|FGP Ltd|INE512A01016|Miscellaneous|X|Success: UPDATED in HoldingSecurity.
169|500141|FERROALLOY|Ferro Alloys Cor|Ferro Alloys Corporation Ltd|INE912A01026|Mining / Minerals / Metals|X|Success: UPDATED in HoldingSecurity.
171|500144|FINCABLES|Finolex Cables|Finolex Cables Ltd|INE235A01022|Cables - Power|A|Success: UPDATED in HoldingSecurity.
172|500145|FIRSTLEASE|First Leasing Co|First Leasing Company of India Ltd|INE492B01019|Finance & Investments|Z|Success: UPDATED in HoldingSecurity.
175|500790|NESTLEIND|Nestle India|Nestle India Ltd|INE239A01016|Food - Processing - MNC|A|Success: UPDATED in HoldingSecurity.
176|507552|FOODSIN|Foods & Inns|Foods & Inns Ltd|INE976E01023|Food - Processing - Indian|B|Success: UPDATED in HoldingSecurity.
180|504704|GKWLIMITED|GKW|GKW Ltd|INE528A01020|Miscellaneous||Success: UPDATED in HoldingSecurity.
181|509546||Graviss Hospital|Graviss Hospitality Ltd|INE214F01026|Hotels|X|Success: UPDATED in HoldingSecurity.
183|504286|DELTAMAGNT|Delta Manufact.|Delta Manufacturing Ltd|INE393A01011|Electronics - Components|B|Success: UPDATED in HoldingSecurity.
184|505714|GABRIEL|Gabriel India|Gabriel India Ltd|INE524A01029|Auto Ancillaries|A|Success: UPDATED in HoldingSecurity.
185|505711||Gajra Bevel|Gajra Bevel Gears Ltd|INE282D01010|Auto Ancillaries|XT|Success: UPDATED in HoldingSecurity.
186|509550|GAMMONIND|Gammon India|Gammon India Ltd|INE259B01020|Construction||Success: UPDATED in HoldingSecurity.
189|500655|GRWRHITECH|Garware Hi Tech|Garware Hi Tech Films Ltd|INE291A01017|Packaging|B|Success: UPDATED in HoldingSecurity.
190|509557|GARFIBRES|Garware Tech.|Garware Technical Fibres Ltd|INE276A01018|Textiles - Products|A|Success: UPDATED in HoldingSecurity.
195|500660|GLAXO|Glaxosmi. Pharma|Glaxosmithkline Pharmaceuticals Ltd|INE159A01016|Pharmaceuticals - Multinational|A|Success: UPDATED in HoldingSecurity.
196|509567|GOACARBON|Goa Carbon|Goa Carbon Ltd|INE426D01013|Chemicals|B|Success: UPDATED in HoldingSecurity.
197|505744|FMGOETZE|Federal-Mogul Go|Federal-Mogul Goetze (India) Ltd|INE529A01010|Auto Ancillaries|B|Success: UPDATED in HoldingSecurity.
198|502865|FORBESGOK|Forbes & Co|Forbes & Company Ltd|INE518A01013|Engineering|A|Success: UPDATED in HoldingSecurity.
199|500168|GOODYEAR|Goodyear India|Goodyear India Ltd|INE533A01012|Tyres|B|Success: UPDATED in HoldingSecurity.
200|500165|KANSAINER|Kansai Nerolac|Kansai Nerolac Paints Ltd|INE531A01024|Paints / Varnishes|A|Success: UPDATED in HoldingSecurity.
201|500166|GOODRICKE|Goodricke Group|Goodricke Group Ltd|INE300A01016|Tea|X|Success: UPDATED in HoldingSecurity.
202|508809||GWL Properties|GWL Properties Ltd|INE595C01025|Construction|B|Success: UPDATED in HoldingSecurity.
204|532163|SAREGAMA|Saregama India|Saregama India Ltd|INE979A01025|Entertainment / Electronic Media Software|A|Success: INSERTED in HoldingSecurity.
207|500620|GESHIP|GE Shipping Co|Great Eastern Shipping Company Ltd|INE017A01032|Shipping|A|Success: UPDATED in HoldingSecurity.
208|501455|GREAVESCOT|Greaves Cotton|Greaves Cotton Ltd|INE224A01026|Engines|A|Success: UPDATED in HoldingSecurity.
209|506076|GRINDWELL|Grindwell Norton|Grindwell Norton Ltd|INE536A01023|Abrasives And Grinding Wheels|A|Success: UPDATED in HoldingSecurity.
210|500151|GOLDENTOBC|Golden Tobacco|Golden Tobacco Ltd|INE973A01010|Cigarettes|T|Success: UPDATED in HoldingSecurity.
211|505712||Him Teknoforg.|Him Teknoforge Ltd|INE705G01021|Auto Ancillaries|X|Success: UPDATED in HoldingSecurity.
213|500670|GNFC|G N F C|Gujarat Narmada Valley Fertilizers & Chemicals Ltd|INE113A01013|Fertilizers|A|Success: UPDATED in HoldingSecurity.
214|505075|SETCO|Setco Automotive|Setco Automotive Ltd|INE878E01021|Auto Ancillaries|B|Success: UPDATED in HoldingSecurity.
216|506879|GUJTHEMIS|Guj. Themis Bio.|Gujarat Themis Biosyn Ltd|INE942C01029|Pharmaceuticals - Indian - Bulk Drugs|X|Success: UPDATED in HoldingSecurity.
217|530001|GUJALKALI|Gujarat Alkalies|Gujarat Alkalies & Chemicals Ltd|INE186A01019|Chlor Alkali / Soda Ash|A|Success: UPDATED in HoldingSecurity.
218|500425|AMBUJACEM|Ambuja Cements|Ambuja Cements Ltd|INE079A01024|Cement - North India|A|Success: UPDATED in HoldingSecurity.
220|506457||Guj. Carbon Inds|Gujarat Carbon & Industries Ltd|INE462C01010|Chemicals|XT|Success: UPDATED in HoldingSecurity.
225|506858||Guj. Petrosynth.|Gujarat Petrosynthese Ltd|INE636P01011|Plastics Products|XT|Success: UPDATED in HoldingSecurity.
226|500690|GSFC|G S F C|Gujarat State Fertilizers & Chemicals Ltd|INE026A01025|Fertilizers|A|Success: UPDATED in HoldingSecurity.
227|500300|GRASIM|Grasim Inds|Grasim Industries Ltd|INE047A01021|Textiles - Manmade|A|Success: UPDATED in HoldingSecurity.
229|500448|HINDEVELOP|Malanpur Steel|Malanpur Steel Ltd|INE550A01016|Trading|G|Success: INSERTED in HoldingSecurity.
230|500010|HDFC|H D F C|Housing Development Finance Corporation Ltd|INE001A01036|Finance - Housing|A|Success: UPDATED in HoldingSecurity.
231|500676|GSKCONS|GlaxoSmith C H L|GlaxoSmithkline Consumer Healthcare Ltd|INE264A01014|Food - Processing - MNC|A|Success: UPDATED in HoldingSecurity.
233|500467|HARRMALAYA|Harri. Malayalam|Harrisons Malayalam Ltd|INE544A01019|Tea|B|Success: UPDATED in HoldingSecurity.
237|500182|HEROMOTOCO|Hero Motocorp|Hero MotoCorp Ltd|INE158A01026|Automobiles - Motorcycles / Mopeds|A|Success: UPDATED in HoldingSecurity.
240|509613||Hilton Rubber|Hilton Rubbers Ltd||Miscellaneous|P|Success: INSERTED in HoldingSecurity.
242|500002|ABB|A B B|ABB India Ltd|INE117A01022|Electric Equipment|A|Success: UPDATED in HoldingSecurity.
243|500672|NOVARTIND|Novartis India|Novartis India Ltd|INE234A01025|Pharmaceuticals - Multinational|B|Success: UPDATED in HoldingSecurity.
245|500185|HCC|Hind.Construct.|Hindustan Construction Company Ltd|INE549A01026|Construction|A|Success: UPDATED in HoldingSecurity.
246|509627|HINDDORROL|Hind.Dorr-Oliver|Hindustan Dorr-Oliver Ltd|INE551A01022|Engineering - Turnkey Services||Success: UPDATED in HoldingSecurity.
247|500500|HINDMOTORS|Hindustan Motors|Hindustan Motors Ltd|INE253A01025|Automobiles - Passenger Cars|B|Success: UPDATED in HoldingSecurity.
249|500032|BAJAJHIND|Bajaj Hindusthan|Bajaj Hindusthan Sugar Ltd|INE306A01021|Sugar|A|Success: UPDATED in HoldingSecurity.
250|500187|AGI|AGI Greenpac|AGI Greenpac Ltd|INE415A01038|Packaging|B|Success: UPDATED in HoldingSecurity.
251|509631|HEG|HEG|HEG Ltd|INE545A01016|Electrodes - Graphites|A|Success: UPDATED in HoldingSecurity.
252|500440|HINDALCO|Hindalco Inds.|Hindalco Industries Ltd|INE038A01020|Aluminium and Aluminium Products|A|Success: UPDATED in HoldingSecurity.
253|509635|HINDCOMPOS|Hind.Composites|Hindustan Composites Ltd|INE310C01029|Auto Ancillaries|B|Success: UPDATED in HoldingSecurity.
255|500696|HINDUNILVR|Hind. Unilever|Hindustan Unilever Ltd|INE030A01027|Personal Care - Multinational|A|Success: UPDATED in HoldingSecurity.
256|500674|SANOFI|Sanofi India|Sanofi India Ltd|INE058A01010|Pharmaceuticals - Multinational|A|Success: UPDATED in HoldingSecurity.
257|500193|HLVLTD|HLV|HLV Ltd|INE102A01024|Hotels|B|Success: UPDATED in HoldingSecurity.
259|509675|HIL|Hil Ltd|Hil Ltd|INE557A01011|Cement Products|A|Success: UPDATED in HoldingSecurity.
262|504067|ZENSARTECH|Zensar Tech.|Zensar Technologies Ltd|INE520A01027|Computers - Software - Medium / Small|A|Success: UPDATED in HoldingSecurity.
263|500720|INDIANORG|Futura Polyester|Futura Polyesters Ltd|INE564A01017|Textiles - Manmade|XT|Success: UPDATED in HoldingSecurity.
265|506480|GOCLCORP|GOCL Corpn.|GOCL Corporation Ltd|INE077F01035|Chemicals|B|Success: UPDATED in HoldingSecurity.
266|500710|AKZOINDIA|Akzo Nobel|Akzo Nobel India Ltd|INE133A01011|Paints / Varnishes|A|Success: UPDATED in HoldingSecurity.
268|509162||Indag Rubber|Indag Rubber Ltd|INE802D01023|Miscellaneous|X|Success: UPDATED in HoldingSecurity.
270|530005|INDIACEM|India Cements|India Cements Ltd|INE383A01012|Cement - South India|A|Success: UPDATED in HoldingSecurity.
278|509692|INDIANCARD|Indian CardCloth|Indian Card Clothing Company Ltd|INE061A01014|Textile Machinery|B|Success: UPDATED in HoldingSecurity.
281|505726|IFBIND|IFB Industries|IFB Industries Ltd|INE559A01017|Domestic Appliances|A|Success: UPDATED in HoldingSecurity.
282|500850|INDHOTEL|Indian Hotels Co|Indian Hotels Co Ltd|INE053A01029|Hotels|A|Success: UPDATED in HoldingSecurity.
283|504741|INDIANHUME|Indian Hume Pipe|Indian Hume Pipe Company Ltd|INE323C01030|Construction|B|Success: UPDATED in HoldingSecurity.
284|523457|LINDEINDIA|Linde India|Linde India Ltd|INE473A01011|Chemicals|A|Success: UPDATED in HoldingSecurity.
287|505729|SINGER|Singer India|Singer India Ltd|INE638A01035|Engineering|XT|Success: UPDATED in HoldingSecurity.
288|507815|GILLETTE|Gillette India|Gillette India Ltd|INE322A01010|Personal Care - Multinational|A|Success: UPDATED in HoldingSecurity.
289|502241|INDOASAHI|IAG Glass Compan|IAG Glass Company Ltd|INE831D01014|Glass & Glass Products|XT|Success: UPDATED in HoldingSecurity.
290|506945||Indo Gulf Inds.|Indo Gulf Industries Ltd|INE684U01011|Chemicals|P|Success: UPDATED in HoldingSecurity.
291|508941|PANCARBON|Panasonic Carbon|Panasonic Carbon India Company Ltd|INE013E01017|Electrodes - Graphites|X|Success: UPDATED in HoldingSecurity.
292|500870|CASTROLIND|Castrol India|Castrol India Ltd|INE172A01027|Chemicals|A|Success: UPDATED in HoldingSecurity.
294|532002|INFARINDIA|Organon (India)|Organon (India) Ltd|INE568A01018|Trading||Success: INSERTED in HoldingSecurity.
295|500210|INGERRAND|Ingersoll-Rand|Ingersoll-Rand (India) Ltd|INE177A01018|Compressors / Drilling Equipment|A|Success: UPDATED in HoldingSecurity.
296|505737||Intl. Combustion|International Combustion (India) Ltd|INE403C01014|Engineering|X|Success: UPDATED in HoldingSecurity.
298|501301|TATAINVEST|Tata Inv.Corpn.|Tata Investment Corporation Ltd|INE672A01018|Finance & Investments|A|Success: UPDATED in HoldingSecurity.
299|500214|IONEXCHANG|ION Exchange|Ion Exchange (India) Ltd|INE570A01014|Engineering|A|Success: UPDATED in HoldingSecurity.
300|513010|TATASTLLP|Tata Steel Long|Tata Steel Long Products Ltd|INE674A01014|Steel - Sponge Iron|A|Success: UPDATED in HoldingSecurity.
301|500875|ITC|ITC|ITC Ltd|INE154A01025|Cigarettes|A|Success: UPDATED in HoldingSecurity.
302|507580|IVP|IVP|IVP Ltd|INE043C01018|Chemicals|B|Success: UPDATED in HoldingSecurity.
303|506943|JBCHEPHARM|J B Chem & Pharm|J B Chemicals & Pharmaceuticals Ltd|INE572A01028|Pharmaceuticals - Indian - Bulk Drugs & Formln|A|Success: UPDATED in HoldingSecurity.
304|530007|JKTYRE|JK Tyre & Indust|JK Tyre & Industries Ltd|INE573A01042|Tyres|A|Success: UPDATED in HoldingSecurity.
305|500306|JKSYNTHETC|Jaykay Enter.|Jaykay Enterprises Ltd|INE903A01025|Miscellaneous|X|Success: UPDATED in HoldingSecurity.
306|500223|JCT|JCT|JCT Ltd|INE945A01026|Textiles - Composite|X|Success: UPDATED in HoldingSecurity.
